TOT_POP,POP_ESTIMATE_2018,Obesity_number,Heart disease_number,CKD_number,charges
50815.0,50815.0,14441.0,3373.0,1224.0,19691
54539.0,54539.0,12207.0,3758.0,1627.0,17014
4178.0,4178.0,1180.0,299.0,116.0,1560
68362.0,68362.0,20896.0,4966.0,1924.0,27601
16683.0,16683.0,3624.0,809.0,404.0,4685
21098.0,21098.0,6075.0,2538.0,970.0,9566
559335.0,559335.0,145345.0,25402.0,12823.0,177699
58930.0,58930.0,17025.0,3552.0,1571.0,22614
50953.0,50953.0,15109.0,4559.0,1830.0,22153
14432.0,14432.0,4438.0,1173.0,401.0,5955
996945.0,996945.0,232448.0,52875.0,22399.0,316527
54993.0,54993.0,9805.0,2017.0,994.0,11906
45358.0,45358.0,12438.0,2975.0,1101.0,16838
47542.0,47542.0,12744.0,3325.0,1286.0,17381
136373.0,136373.0,28870.0,7805.0,3567.0,39310
45467.0,45467.0,12968.0,3497.0,1306.0,17405
10134.0,10134.0,2785.0,731.0,271.0,3824
196584.0,196584.0,59586.0,10347.0,4598.0,70409
16603.0,16603.0,4872.0,1607.0,552.0,6700
16141.0,16141.0,4681.0,919.0,371.0,5398
34055.0,34055.0,9793.0,2226.0,891.0,12117
8013.0,8013.0,2440.0,555.0,262.0,3159
22895.0,22895.0,6541.0,1532.0,599.0,8920
532331.0,532331.0,150568.0,34842.0,13765.0,207524
14310.0,14310.0,4015.0,1202.0,470.0,5598
293557.0,293557.0,59451.0,15713.0,6411.0,80819
159337.0,159337.0,45813.0,10979.0,4106.0,61796
38346.0,38346.0,10672.0,2365.0,921.0,13979
206229.0,206229.0,49293.0,12908.0,4967.0,68180
14717.0,14717.0,3568.0,874.0,347.0,5083
13143.0,13143.0,4048.0,1028.0,474.0,5839
42647.0,42647.0,12280.0,2652.0,1093.0,15494
164742.0,164742.0,44871.0,10491.0,4264.0,58840
45851.0,45851.0,12929.0,2989.0,1054.0,18291
94632.0,94632.0,31137.0,5144.0,2494.0,38444
6005.0,6005.0,1504.0,355.0,138.0,2031
469966.0,469966.0,89557.0,20591.0,9295.0,118252
7450.0,7450.0,1703.0,435.0,174.0,2275
65936.0,65936.0,18629.0,4488.0,1780.0,24215
14523.0,14523.0,3572.0,936.0,374.0,4843
42276.0,42276.0,12160.0,2615.0,981.0,15360
129641.0,129641.0,40946.0,8730.0,3420.0,54545
86976.0,86976.0,26203.0,5150.0,2104.0,34606
33190.0,33190.0,10827.0,2840.0,1190.0,14983
7380.0,7380.0,1694.0,485.0,187.0,2303
49791.0,49791.0,10542.0,2014.0,934.0,12751
43892.0,43892.0,9531.0,2593.0,937.0,12920
31666.0,31666.0,8351.0,2242.0,926.0,12010
127335.0,127335.0,33740.0,7924.0,3223.0,44633
53140.0,53140.0,14976.0,4305.0,1556.0,21647
5882.0,5882.0,1456.0,402.0,176.0,2010
98105.0,98105.0,23248.0,3935.0,1752.0,28203
6549.0,6549.0,1971.0,610.0,214.0,2853
15096.0,15096.0,4611.0,1366.0,495.0,6571
88355.0,88355.0,22022.0,4757.0,1908.0,30020
17844.0,17844.0,4473.0,1252.0,486.0,6517
157413.0,157413.0,36618.0,14559.0,5424.0,55067
14503.0,14503.0,3380.0,1003.0,459.0,4870
84460.0,84460.0,20466.0,4979.0,2121.0,25937
171700.0,171700.0,34515.0,9192.0,4197.0,47000
13565.0,13565.0,3675.0,995.0,384.0,5225
73901.0,73901.0,20813.0,5313.0,2124.0,26629
2430.0,2430.0,607.0,172.0,69.0,788
7682.0,7682.0,2198.0,488.0,194.0,2690
26846.0,26846.0,8011.0,1731.0,769.0,10179
3741.0,3741.0,1041.0,188.0,84.0,1287
70941.0,70941.0,20785.0,4722.0,1929.0,26805
28710.0,28710.0,7767.0,1448.0,607.0,9302
24949.0,24949.0,6971.0,1491.0,593.0,8857
9611.0,9611.0,2539.0,611.0,239.0,3453
12311.0,12311.0,3771.0,904.0,318.0,5298
30816.0,30816.0,7946.0,2482.0,948.0,11421
34208.0,34208.0,8197.0,1919.0,779.0,10820
33169.0,33169.0,8004.0,1970.0,804.0,10462
55852.0,55852.0,14987.0,4138.0,1552.0,21228
39694.0,39694.0,9817.0,2794.0,1085.0,13623
135428.0,135428.0,32839.0,7420.0,3042.0,40826
3533.0,3533.0,1056.0,236.0,94.0,1286
11169.0,11169.0,3120.0,687.0,280.0,3921
749.0,749.0,211.0,56.0,22.0,288
72133.0,72133.0,12799.0,3764.0,1775.0,19376
62075.0,62075.0,16164.0,4208.0,1644.0,22744
24192.0,24192.0,6164.0,1670.0,686.0,8271
86983.0,86983.0,21579.0,4562.0,1828.0,29034
713856.0,713856.0,131114.0,27140.0,13522.0,171626
18691.0,18691.0,4365.0,1000.0,420.0,5463
18486.0,18486.0,5092.0,1444.0,518.0,7444
9541.0,9541.0,2637.0,660.0,250.0,3325
292502.0,292502.0,71409.0,14144.0,6445.0,92379
18627.0,18627.0,5848.0,1040.0,419.0,6813
8777.0,8777.0,2114.0,714.0,297.0,3110
19479.0,19479.0,5004.0,1211.0,483.0,6778
56530.0,56530.0,15308.0,4708.0,1688.0,21840
41550.0,41550.0,12251.0,3189.0,1127.0,16824
10881.0,10881.0,3206.0,564.0,245.0,3548
14836.0,14836.0,4125.0,1148.0,456.0,5783
17824.0,17824.0,5168.0,1382.0,503.0,6854
24265.0,24265.0,6726.0,1750.0,630.0,9528
8716.0,8716.0,2270.0,451.0,190.0,2813
88690.0,88690.0,26054.0,5711.0,2181.0,36408
27271.0,27271.0,7889.0,2117.0,842.0,10829
90180.0,90180.0,19411.0,3026.0,1410.0,22395
2637772.0,2637772.0,695465.0,123684.0,59528.0,820238
39498.0,39498.0,11311.0,2818.0,1085.0,15698
1127.0,1127.0,309.0,87.0,34.0,418
42733.0,42733.0,12407.0,4144.0,1496.0,18460
2987.0,2987.0,702.0,239.0,101.0,1039
60537.0,60537.0,16433.0,4358.0,1654.0,23089
332330.0,332330.0,76815.0,15896.0,7633.0,104063
476.0,476.0,137.0,31.0,12.0,168
29970.0,29970.0,6755.0,2122.0,831.0,10650
42132.0,42132.0,11230.0,3135.0,1308.0,14251
33304.0,33304.0,10184.0,2106.0,871.0,13572
67653.0,67653.0,16149.0,4857.0,1974.0,21311
6955.0,6955.0,2175.0,677.0,218.0,3233
2611.0,2611.0,570.0,180.0,72.0,761
10558.0,10558.0,3206.0,823.0,303.0,4446
16106.0,16106.0,5044.0,1253.0,434.0,6786
22601.0,22601.0,6512.0,1809.0,789.0,9031
29955.0,29955.0,8048.0,1709.0,716.0,10463
6111.0,6111.0,1407.0,295.0,118.0,1763
103551.0,103551.0,21996.0,3601.0,1665.0,24418
50592.0,50592.0,13934.0,3865.0,1483.0,19116
229642.0,229642.0,65379.0,17216.0,6553.0,97916
81069.0,81069.0,26259.0,5311.0,1850.0,35881
38701.0,38701.0,11404.0,2802.0,1097.0,15821
47079.0,47079.0,14854.0,3832.0,1554.0,20171
9226.0,9226.0,2357.0,705.0,278.0,3311
15449.0,15449.0,4034.0,949.0,428.0,5195
22304.0,22304.0,5987.0,1233.0,498.0,7253
131533.0,131533.0,33284.0,6763.0,2505.0,46740
8276.0,8276.0,2442.0,538.0,218.0,3024
23341.0,23341.0,6382.0,1883.0,681.0,8926
10769.0,10769.0,2918.0,912.0,359.0,4301
13376.0,13376.0,3496.0,868.0,351.0,4467
159442.0,159442.0,39373.0,8759.0,3626.0,52230
113459.0,113459.0,25860.0,5497.0,2542.0,31502
13938.0,13938.0,4115.0,1019.0,453.0,5485
11640.0,11640.0,2510.0,487.0,221.0,3035
15041.0,15041.0,4554.0,1380.0,491.0,6370
172828.0,172828.0,38808.0,7429.0,3312.0,50324
34993.0,34993.0,8595.0,2177.0,895.0,11224
60949.0,60949.0,18189.0,4757.0,1939.0,23704
16006.0,16006.0,4106.0,1275.0,489.0,5948
39563.0,39563.0,12197.0,2946.0,1283.0,16375
20544.0,20544.0,6116.0,1498.0,629.0,7843
27604.0,27604.0,7899.0,1954.0,761.0,11004
4059.0,4059.0,975.0,314.0,125.0,1465
8351.0,8351.0,2328.0,657.0,279.0,3212
51653.0,51653.0,13778.0,3634.0,1382.0,18101
4921.0,4921.0,1381.0,451.0,166.0,1970
14275.0,14275.0,4863.0,1088.0,518.0,6498
8802.0,8802.0,2166.0,721.0,278.0,3128
4358.0,4358.0,1198.0,290.0,122.0,1573
14041.0,14041.0,3441.0,595.0,263.0,4233
42929.0,42929.0,12476.0,2262.0,949.0,15180
69410.0,69410.0,17381.0,4872.0,1928.0,27267
259103.0,259103.0,57465.0,16028.0,6482.0,76427
21067.0,21067.0,6957.0,1838.0,750.0,9388
6040.0,6040.0,1738.0,397.0,156.0,2201
20092.0,20092.0,5680.0,1322.0,508.0,7445
370963.0,370963.0,80340.0,16589.0,7294.0,105037
23517.0,23517.0,6521.0,1630.0,618.0,8971
1362.0,1362.0,377.0,115.0,43.0,533
35564.0,35564.0,10949.0,2554.0,1037.0,14951
118791.0,118791.0,21514.0,5548.0,2446.0,26831
20786.0,20786.0,6396.0,1987.0,642.0,9519
75317.0,75317.0,20823.0,5024.0,2161.0,27187
17142.0,17142.0,5804.0,1270.0,614.0,7144
522046.0,522046.0,101381.0,23274.0,10383.0,133178
147381.0,147381.0,31863.0,5031.0,2358.0,38151
26533.0,26533.0,7240.0,1828.0,659.0,9984
15944.0,15944.0,5668.0,1421.0,594.0,7696
122492.0,122492.0,35871.0,8090.0,3231.0,46748
53126.0,53126.0,14361.0,2675.0,1187.0,18373
5754.0,5754.0,1692.0,419.0,149.0,2230
6843.0,6843.0,1603.0,508.0,225.0,2355
47334.0,47334.0,13731.0,3296.0,1273.0,18615
425423.0,425423.0,106179.0,16729.0,7730.0,122306
6562.0,6562.0,2199.0,458.0,182.0,2740
41179.0,41179.0,12259.0,3643.0,1327.0,18332
16207.0,16207.0,4057.0,1035.0,420.0,5295
150926.0,150926.0,43998.0,8853.0,3677.0,57494
14288.0,14288.0,4387.0,1184.0,478.0,5820
379099.0,379099.0,91148.0,21568.0,9440.0,126338
15765.0,15765.0,4756.0,1018.0,413.0,6406
143351.0,143351.0,37992.0,10054.0,3861.0,51363
10212.0,10212.0,2788.0,732.0,268.0,3857
5463.0,5463.0,1739.0,447.0,192.0,2358
35989.0,35989.0,10579.0,2151.0,903.0,13498
7462.0,7462.0,2235.0,560.0,228.0,2985
3295.0,3295.0,938.0,275.0,100.0,1294
5278.0,5278.0,1494.0,328.0,133.0,1778
21579.0,21579.0,6557.0,1829.0,644.0,9405
62607.0,62607.0,15261.0,3928.0,1609.0,22681
618.0,618.0,181.0,44.0,18.0,238
34074.0,34074.0,8245.0,1980.0,771.0,10591
15434.0,15434.0,4751.0,1145.0,449.0,6003
37678.0,37678.0,9595.0,2658.0,964.0,12752
3645.0,3645.0,1125.0,244.0,95.0,1390
8996.0,8996.0,2462.0,502.0,208.0,2966
9485.0,9485.0,2538.0,723.0,268.0,3418
205560.0,205560.0,52744.0,11210.0,4647.0,65888
9788.0,9788.0,2823.0,692.0,273.0,3786
1360.0,1360.0,394.0,95.0,37.0,514
8446.0,8446.0,2323.0,495.0,200.0,2666
13534.0,13534.0,3739.0,1086.0,410.0,5170
21416.0,21416.0,6117.0,1531.0,596.0,8312
118121.0,118121.0,29535.0,6456.0,2796.0,39735
4377.0,4377.0,1531.0,407.0,184.0,2102
30233.0,30233.0,6608.0,1603.0,687.0,7990
2895.0,2895.0,796.0,176.0,74.0,1028
197683.0,197683.0,43287.0,7645.0,3393.0,59708
221091.0,221091.0,65317.0,10444.0,4825.0,81061
19389.0,19389.0,4987.0,1253.0,506.0,6896
41556.0,41556.0,11350.0,2936.0,1225.0,15424
4658.0,4658.0,1354.0,325.0,141.0,1637
3875.0,3875.0,932.0,240.0,93.0,1154
27943.0,27943.0,8063.0,1813.0,692.0,10051
198627.0,198627.0,58874.0,14942.0,5660.0,80615
4909.0,4909.0,973.0,295.0,126.0,1396
50293.0,50293.0,17109.0,3248.0,1311.0,20622
180621.0,180621.0,51475.0,10091.0,4357.0,70240
19101.0,19101.0,3607.0,747.0,359.0,4783
30725.0,30725.0,8157.0,1996.0,826.0,11250
207346.0,207346.0,60960.0,12529.0,5053.0,79715
1675.0,1675.0,411.0,115.0,45.0,528
